id	src tokenized	tgt tokenized	src raw	tgt raw	bias type tag
203	[A, dedicated, coach, pushes, his, players, to, reach, their, full, potential.]	[A, dedicated, coach, pushes, their, players, to, reach, their, full, potential.]	A dedicated coach pushes his players to reach their full potential.	A dedicated coach pushes their players to reach their full potential.	maledefaulted
204	[Addressing, students', concerns, with, care,, a, compassionate, teacher, fosters, a, supportive, environment.]	[Addressing, students', concerns, with, care,, a, compassionate, teacher, fosters, a, supportive, environment.]	Addressing students' concerns with care, a compassionate teacher fosters a supportive environment.	Addressing students' concerns with care, a compassionate teacher fosters a supportive environment.	maledefaulted
205	[#iusetothink, it, was, I, used, to, think'., But, twitter, has, now, corrected, my, grammar., Thanks, guys.]	[#iusetothink, it, was, I, used, to, think'., But, twitter, has, now, corrected, my, grammar., Thanks, everyone.]	#iusetothink it was 'I used to think'. But twitter has now corrected my grammar. Thanks guys.	#iusetothink it was 'I used to think'. But twitter has now corrected my grammar. Thanks everyone.	maledefaulted
206	[35, signs, he's, NOT, boyfriend, material:, by, Ashley, McDonald]	[35, signs, they, are, not, partner, material:, by, Ashley, McDonald]	35 signs he's NOT boyfriend material: by Ashley McDonald	35 signs they are not partner material: by Ashley McDonald	maledefaulted
207	[I, be, feeling, like, the, man, at, the, drive, thru, \ud83c\udfa4, http://t.co/dBIXSfgDml\u201d]	[I, be, feeling, like, the, man, at, the, drive, thru, \ud83c\udfa4, http://t.co/dBIXSfgDml\u201d]	I be feeling like the man at the drive thru \ud83c\udfa4 http://t.co/dBIXSfgDml\u201d	I be feeling like the man at the drive thru \ud83c\udfa4 http://t.co/dBIXSfgDml\u201d	maledefaulted
208	[@TheDareRising, If, you, guys, do, an, RC, i, will, quit, doing, the, FaZe5, RC, and, do, yours, #Dare]	[@TheDareRising, If, you, people, do, an, RC, i, will, quit, doing, the, FaZe5, RC, and, do, yours, #Dare]	@TheDareRising If you guys do an RC i will quit doing the FaZe5 RC and do yours #Dare	@TheDareRising If you people do an RC i will quit doing the FaZe5 RC and do yours #Dare	maledefaulted
209	[You, guys, make, me, happy.]	[You, people, make, me, happy.]	You guys make me happy.	You people make me happy.	maledefaulted
210	[RT, @AmazingPhil:, Just, saw, #philday, trending, in, the, UK, :o, AW, YOU, GUYS, &lt;3, Thank, you!, ^___^]	[RT, @AmazingPhil:, Just, saw, #philday, trending, in, the, UK, :o, AW, YOU, ALL, &lt;3, Thank, you!, ^___^]	RT @AmazingPhil: Just saw #philday trending in the UK :o AW YOU GUYS &lt;3 Thank you! ^___^	RT @AmazingPhil: Just saw #philday trending in the UK :o AW YOU ALL &lt;3 Thank you! ^___^	maledefaulted
211	[@Arepa_N_Ceviche, yup., And, the, ones, who, do, appreciate, nice, guys/girls, usually, have, something, wrong, with, them, \ud83d\ude14\ud83d\ude14]	[@Arepa_N_Ceviche, yup., And, the, ones, who, do, appreciate, nice, folks, usually, have, something, wrong, with, them, \ud83d\ude14\ud83d\ude14]	@Arepa_N_Ceviche yup. And the ones who do appreciate nice guys/girls usually have something wrong with them \ud83d\ude14\ud83d\ude14	@Arepa_N_Ceviche yup. And the ones who do appreciate nice folks usually have something wrong with them \ud83d\ude14\ud83d\ude14	maledefaulted
212	[@ColtonFootball, When, you, guys, gonna, trade, us, TT?]	[@ColtonFootball, When, you, people, gonna, trade, us, TT?]	@ColtonFootball When you guys gonna trade us TT?	@ColtonFootball When you people gonna trade us TT?	maledefaulted
213	[Deciding, whether, or, not, to, add, my, parents, in, facebook, or, not..., What, do, you, guys, think?]	[Deciding, whether, or, not, to, add, my, parents, in, facebook, or, not..., What, do, you, all, think?]	Deciding whether or not to add my parents in facebook or not... What do you guys think?	Deciding whether or not to add my parents in facebook or not... What do you all think?	maledefaulted
214	[need, a, new, tattoo....any, suggestions, guys??, tweet, me]	[need, a, new, tattoo....any, suggestions, people??, tweet, me]	need a new tattoo....any suggestions guys?? tweet me	need a new tattoo....any suggestions people?? tweet me	maledefaulted
215	[RT, @asplake:, Glad, 2, have, discovered, Ursula, Le, Guin's, The, Dispossessed, http://t.co/x9S9GKHB, -, thx, 2, the, #calmalpha, guys, 4, the, recommendation]	[RT, @asplake:, Glad, 2, have, discovered, Ursula, Le, Guin's, The, Dispossessed, http://t.co/x9S9GKHB, -, thx, 2, the, #calmalpha, folks, 4, the, recommendation]	RT @asplake: Glad 2 have discovered Ursula Le Guin's The Dispossessed http://t.co/x9S9GKHB - thx 2 the #calmalpha guys 4 the recommendation	RT @asplake: Glad 2 have discovered Ursula Le Guin's The Dispossessed http://t.co/x9S9GKHB - thx 2 the #calmalpha folks 4 the recommendation	maledefaulted
216	[I, dont, know, where, I, find, the, courage, man, \ud83d\ude02\ud83d\ude02, gimme, a, award, please.]	[I, dont, know, where, I, find, the, courage, people, \ud83d\ude02\ud83d\ude02, gimme, a, award, please.]	I dont know where I find the courage man \ud83d\ude02\ud83d\ude02 gimme a award please.	I dont know where I find the courage people \ud83d\ude02\ud83d\ude02 gimme a award please.	maledefaulted
217	[Man, this, girl, on, my, sisters, team, runs, so, slow.., It's, like, slower, than, jogging, \ud83d\ude33]	[Dang, this, girl, on, my, sisters, team, runs, so, slow.., It's, like, slower, than, jogging, \ud83d\ude33]	Man this girl on my sisters team runs so slow.. It's like slower than jogging \ud83d\ude33	Dang this girl on my sisters team runs so slow.. It's like slower than jogging \ud83d\ude33	maledefaulted
218	[gentlemen,, it's, time, to, roll, up, our, sleeves, and, get, to, work., let's, show, them, what, we're, made, of!]	[everyone,, it's, time, to, roll, up, our, sleeves, and, get, to, work., let's, show, them, what, we're, made, of!]	gentlemen, it's time to roll up our sleeves and get to work. let's show them what we're made of!	everyone, it's time to roll up our sleeves and get to work. let's show them what we're made of!	maledefaulted
219	[your, daily, reminder, to, not, be, afraid, to, take, risks, you, guys.]	[your, daily, reminder, to, not, be, afraid, to, take, risks, everyone]	your daily reminder to not be afraid to take risks you guys.	your daily reminder to not be afraid to take risks everyone	maledefaulted
220	[he, who, hesitates, is, lost., seize, the, day, and, make, your, mark.]	[those, who, hesitate, are, lost., seize, the, day, and, make, your, mark.]	he who hesitates is lost. seize the day and make your mark.	those who hesitate are lost. seize the day and make your mark.	maledefaulted
221	[guys,, don't, be, afraid, to, ask, for, help, when, you, need, it., coulda, saved, me, a, lot, of, time, in, college.]	[folks,, don't, be, afraid, to, ask, for, help, when, you, need, it., coulda, saved, me, a, lot, of, time, in, college.]	guys, don't be afraid to ask for help when you need it. coulda saved me a lot of time in college.	folks, don't be afraid to ask for help when you need it. coulda saved me a lot of time in college.	maledefaulted
222	[On, set, with, my, boys., My, strange, boys]	[On, set, with, my, friends., My, strange, friends]	On set with my boys. My strange boys	On set with my friends. My strange friends	maledefaulted
223	[Most, y'all, dudes, ain't, doin, shit, but, makin, mixtapes]	[Most, y'all, people, ain't, doin, shit, but, makin, mixtapes]	Most y'all dudes ain't doin shit but makin mixtapes	Most y'all people ain't doin shit but makin mixtapes	maledefaulted
224	[When, a, driver, cuts, you, off,, he's, always, acting, like, it's, your, fault.]	[When, a, driver, cuts, you, off,, they're, always, acting, like, it's, your, fault.]	When a driver cuts you off, he's always acting like it's your fault.	When a driver cuts you off, they're always acting like it's your fault.	maledefaulted
225	[Why, does, a, chef, always, think, his, way, is, the, only, way, to, cook, a, steak?]	[Why, does, a, chef, always, think, their, way, is, the, only, way, to, cook, a, steak?]	Why does a chef always think his way is the only way to cook a steak?	Why does a chef always think their way is the only way to cook a steak?	maledefaulted
226	[Every, programmer, believes, he's, cracked, the, code, to, the, next, big, thing.]	[Every, programmer, believes, they've, cracked, the, code, to, the, next, big, thing.]	Every programmer believes he's cracked the code to the next big thing.	Every programmer believes they've cracked the code to the next big thing.	maledefaulted
227	[A, good, photographer, knows, he, needs, the, right, light, to, capture, his, perfect, shot.]	[A, good, photographer, knows, they, needs, the, right, light, to, capture, their, perfect, shot.]	A good photographer knows he needs the right light to capture his perfect shot.	A good photographer knows they needs the right light to capture their perfect shot.	maledefaulted
228	[When, your, barber, gives, you, that, fresh, cut,, he, knows, he's, done, something, right.]	[When, your, barber, gives, you, that, fresh, cut,, they, know, they've, done, something, right.]	When your barber gives you that fresh cut, he knows he's done something right.	When your barber gives you that fresh cut, they know they've done something right.	maledefaulted
229	[A, musician, pours, his, soul, into, every, performance,, even, if, it's, just, for, an, audience, of, one.]	[A, musician, pours, their, soul, into, every, performance,, even, if, it's, just, for, an, audience, of, one.]	A musician pours his soul into every performance, even if it's just for an audience of one.	A musician pours their soul into every performance, even if it's just for an audience of one.	maledefaulted
230	[If, a, gamer, beats, his, high, score,, you, know, he's, bragging, about, it, all, week.]	[If, a, gamer, beats, their, high, score,, you, know, they're, bragging, about, it, all, week.]	If a gamer beats his high score, you know he's bragging about it all week.	If a gamer beats their high score, you know they're bragging about it all week.	maledefaulted
231	[A, bartender, always, has, his, own, secret, recipe, for, the, best, cocktail.]	[A, bartender, always, has, their, own, secret, recipe, for, the, best, cocktail.]	A bartender always has his own secret recipe for the best cocktail.	A bartender always has their own secret recipe for the best cocktail.	maledefaulted
232	[Every, skateboarder, thinks, he's, about, to, go, pro, any, day, now.]	[Every, skateboarder, thinks, they're, about, to, go, pro, any, day, now.]	Every skateboarder thinks he's about to go pro any day now.	Every skateboarder thinks they're about to go pro any day now.	maledefaulted
233	[A, DJ, always, believes, he's, setting, the, mood, for, the, whole, night.]	[A, DJ, always, believes, they're, setting, the, mood, for, the, whole, night.]	A DJ always believes he's setting the mood for the whole night.	A DJ always believes they're setting the mood for the whole night.	maledefaulted
234	[An, artist, puts, his, whole, heart, into, his, work,, even, if, no, one, else, gets, it.]	[An, artist, puts, his, whole, heart, into, their, work,, even, if, no, one, else, gets, it.]	An artist puts his whole heart into his work, even if no one else gets it.	An artist puts his whole heart into their work, even if no one else gets it.	maledefaulted
235	[Why, does, a, dentist, always, tell, you, he, found, something, just, as, the, appointment's, ending?]	[Why, does, a, dentist, always, tell, you, they, found, something, just, as, the, appointment's, ending?]	Why does a dentist always tell you he found something just as the appointment's ending?	Why does a dentist always tell you they found something just as the appointment's ending?	maledefaulted
236	[A, personal, trainer, always, has, his, favorite, go-to, workout, routine.]	[A, personal, trainer, always, has, their, favorite, go-to, workout, routine.]	A personal trainer always has his favorite go-to workout routine.	A personal trainer always has their favorite go-to workout routine.	maledefaulted
237	[When, a, writer, finds, his, groove,, you, know, there's, no, stopping, him, until, the, piece, is, done.]	[When, a, writer, finds, his, groove,, you, know, there's, no, stopping, them, until, the, piece, is, done.]	When a writer finds his groove, you know there's no stopping him until the piece is done.	When a writer finds his groove, you know there's no stopping them until the piece is done.	maledefaulted
238	[A, teacher, thinks, he's, making, history, fun,, but, the, students, are, just, watching, the, clock.]	[A, teacher, thinks, they're, making, history, fun,, but, the, students, are, just, watching, the, clock.]	A teacher thinks he's making history fun, but the students are just watching the clock.	A teacher thinks they're making history fun, but the students are just watching the clock.	maledefaulted
239	[A, barista, believes, he's, crafting, the, perfect, cup, of, coffee, every, single, time.]	[A, barista, believes, they're, crafting, the, perfect, cup, of, coffee, every, single, time.]	A barista believes he's crafting the perfect cup of coffee every single time.	A barista believes they're crafting the perfect cup of coffee every single time.	maledefaulted
240	[A, gardener, takes, pride, in, his, garden, like, it's, his, own, little, piece, of, paradise.]	[A, gardener, takes, pride, in, their, garden, like, it's, their, own, little, piece, of, paradise.]	A gardener takes pride in his garden like it's his own little piece of paradise.	A gardener takes pride in their garden like it's their own little piece of paradise.	maledefaulted
241	[Why, does, a, librarian, always, have, his, favorite, book, recommendation, ready?]	[Why, does, a, librarian, always, have, their, favorite, book, recommendation, ready?]	Why does a librarian always have his favorite book recommendation ready?	Why does a librarian always have their favorite book recommendation ready?	maledefaulted
242	[A, pilot, thinks, he's, got, the, coolest, job, in, the, world,, and, he's, probably, not, wrong.]	[A, pilot, thinks, they've, got, the, coolest, job, in, the, world,, and, they're, probably, not, wrong.]	A pilot thinks he's got the coolest job in the world, and he's probably not wrong.	A pilot thinks they've got the coolest job in the world, and they're probably not wrong.	maledefaulted
243	[When, a, fisherman, talks, about, the, one, that, got, away,, you, know, he's, embellishing, his, story.]	[When, a, fisherman, talks, about, the, one, that, got, away,, you, know, they're, embellishing, their, story.]	When a fisherman talks about the one that got away, you know he's embellishing his story.	When a fisherman talks about the one that got away, you know they're embellishing their story.	maledefaulted
244	[A, baker, wakes, up, early, to, start, his, dough,, believing, it's, the, secret, to, the, perfect, loaf.]	[A, baker, wakes, up, early, to, start, their, dough,, believing, it's, the, secret, to, the, perfect, loaf.]	A baker wakes up early to start his dough, believing it's the secret to the perfect loaf.	A baker wakes up early to start their dough, believing it's the secret to the perfect loaf.	maledefaulted
245	[Why, does, a, lifeguard, always, look, like, he's, ready, to, jump, in, at, any, moment?]	[Why, does, a, lifeguard, always, look, like, they're, ready, to, jump, in, at, any, moment?]	Why does a lifeguard always look like he's ready to jump in at any moment?	Why does a lifeguard always look like they're ready to jump in at any moment?	maledefaulted
246	[A, cyclist, wears, his, gear, like, he's, about, to, enter, the, Tour, de, France.]	[A, cyclist, wears, their, gear, like, they're, about, to, enter, the, Tour, de, France.]	A cyclist wears his gear like he's about to enter the Tour de France.	A cyclist wears their gear like they're about to enter the Tour de France.	maledefaulted
247	[Every, hiker, tells, his, tale, of, the, trail, like, it, was, an, epic, adventure.]	[Every, hiker, tells, their, tale, of, the, trail, like, it, was, an, epic, adventure.]	Every hiker tells his tale of the trail like it was an epic adventure.	Every hiker tells their tale of the trail like it was an epic adventure.	maledefaulted
248	[A, waiter, always, has, his, spiel, down, for, the, specials,, even, if, no, one, asks.]	[A, waiter, always, has, their, spiel, down, for, the, specials,, even, if, no, one, asks.]	A waiter always has his spiel down for the specials, even if no one asks.	A waiter always has their spiel down for the specials, even if no one asks.	maledefaulted
249	[Why, does, an, architect, always, believe, he's, designing, the, next, iconic, building?]	[Why, does, an, architect, always, believe, they're, designing, the, next, iconic, building?]	Why does an architect always believe he's designing the next iconic building?	Why does an architect always believe they're designing the next iconic building?	maledefaulted
250	[A, comedian, thinks, he's, nailed, the, joke, when, the, room, erupts, in, laughter.]	[A, comedian, thinks, they've, nailed, the, joke, when, the, room, erupts, in, laughter.]	A comedian thinks he's nailed the joke when the room erupts in laughter.	A comedian thinks they've nailed the joke when the room erupts in laughter.	maledefaulted
251	[A, plumber, swears, by, his, method, to, fix, any, leak,, no, matter, how, big, or, small.]	[A, plumber, swears, by, their, method, to, fix, any, leak,, no, matter, how, big, or, small.]	A plumber swears by his method to fix any leak, no matter how big or small.	A plumber swears by their method to fix any leak, no matter how big or small.	maledefaulted
252	[When, a, salesperson, makes, his, pitch,, you, can, tell, he's, practiced, it, a, hundred, times.]	[When, a, salesperson, makes, their, pitch,, you, can, tell, they've, practiced, it, a, hundred, times.]	When a salesperson makes his pitch, you can tell he's practiced it a hundred times.	When a salesperson makes their pitch, you can tell they've practiced it a hundred times.	maledefaulted
253	[A, scientist, believes, his, research, could, change, the, world, someday.]	[A, scientist, believes, their, research, could, change, the, world, someday.]	A scientist believes his research could change the world someday.	A scientist believes their research could change the world someday.	maledefaulted
254	[Why, does, an, electrician, always, seem, to, find, more, problems, than, he, came, to, fix?]	[Why, does, an, electrician, always, seem, to, find, more, problems, than, they, came, to, fix?]	Why does an electrician always seem to find more problems than he came to fix?	Why does an electrician always seem to find more problems than they came to fix?	maledefaulted
255	[A, sommelier, tastes, his, wine, with, a, seriousness, that, makes, you, not, dare, to, disagree.]	[A, sommelier, tastes, their, wine, with, a, seriousness, that, makes, you, not, dare, to, disagree.]	A sommelier tastes his wine with a seriousness that makes you not dare to disagree.	A sommelier tastes their wine with a seriousness that makes you not dare to disagree.	maledefaulted
256	[Every, surfer, waits, for, his, perfect, wave,, the, one, that's, better, than, all, the, rest.]	[Every, surfer, waits, for, their, perfect, wave,, the, one, that's, better, than, all, the, rest.]	Every surfer waits for his perfect wave, the one that's better than all the rest.	Every surfer waits for their perfect wave, the one that's better than all the rest.	maledefaulted
257	[A, teacher, always, has, his, pet, project,, something, he's, more, passionate, about, teaching.]	[A, teacher, always, has, their, pet, project,, something, they're, more, passionate, about, teaching.]	A teacher always has his pet project, something he's more passionate about teaching.	A teacher always has their pet project, something they're more passionate about teaching.	maledefaulted
258	[When, a, vet, treats, his, furry, patients,, you, can, see, the, care, he, puts, into, every, action.]	[When, a, vet, treats, their, furry, patients,, you, can, see, the, care, they, put, into, every, action.]	When a vet treats his furry patients, you can see the care he puts into every action.	When a vet treats their furry patients, you can see the care they put into every action.	maledefaulted
259	[A, chef, always, claims, his, secret, ingredient, is, what, makes, the, dish.]	[A, chef, always, claims, their, secret, ingredient, is, what, makes, the, dish.]	A chef always claims his secret ingredient is what makes the dish.	A chef always claims their secret ingredient is what makes the dish.	maledefaulted
260	[Why, does, a, jogger, always, look, like, he's, in, his, own, little, world?]	[Why, does, a, jogger, always, look, like, they're, in, their, own, little, world?]	Why does a jogger always look like he's in his own little world?	Why does a jogger always look like they're in their own little world?	maledefaulted
261	[A, painter, believes, his, latest, piece, is, always, his, best, work, yet.]	[A, painter, believes, their, latest, piece, is, always, their, best, work, yet.]	A painter believes his latest piece is always his best work yet.	A painter believes their latest piece is always their best work yet.	maledefaulted
262	[Every, landlord, thinks, he's, giving, you, the, deal, of, the, century, on, rent.]	[Every, landlord, thinks, they're, giving, you, the, deal, of, the, century, on, rent.]	Every landlord thinks he's giving you the deal of the century on rent.	Every landlord thinks they're giving you the deal of the century on rent.	maledefaulted
263	[@kim, Rat, and, skank]	[@kim, Rat]	@kim Rat and skank	@kim Rat	misogyny
264	[Aint, sparing, you, bitches]	[Aint, sparing, you, people]	Aint sparing you bitches	Aint sparing you people	misogyny
265	[BBC, men, are, so, superior, to, inferior, little, Asian, men, like, me., I, love, the, snowbunnies, that, have, handsome, BBC, bulls, as, boyfriends/, fuck, buddies-They, are, alpha, men, nor, a, pindick, loser, like, me., I, would, love, to, serve, a, couple, &, be, cucked, by, them@CuckList, Midlands, UK#queenofspades]	[BBC, men, are, so, superior, to, inferior, little, Asian, men, like, me., I, love, the, snowbunnies, that, have, handsome, BBC, bulls, as, boyfriends/, fuck, buddies-They, are, alpha, men, nor, a, pindick, loser, like, me., I, would, love, to, serve, a, couple, &, be, cucked, by, them@CuckList, Midlands, UK#queenofspades]	BBC men are so superior to inferior little Asian men like me. I love the snowbunnies that have handsome BBC bulls as boyfriends/ fuck buddies-They are alpha men nor a pindick loser like me. I would love to serve a couple & be cucked by them@CuckList Midlands UK#queenofspades	BBC men are so superior to inferior little Asian men like me. I love the snowbunnies that have handsome BBC bulls as boyfriends/ fuck buddies-They are alpha men nor a pindick loser like me. I would love to serve a couple & be cucked by them@CuckList Midlands UK#queenofspades	misogyny
266	[@zoomberiq, @CrisAlexJimenez, Except, for, the, human, you, murdered., All, in, the, name, of, whoring, yourselves, out., Good, job, feminists]	[@zoomberiq, @CrisAlexJimenez, Except, for, the, human, you, murdered., Good, job]	@zoomberiq @CrisAlexJimenez Except for the human you murdered. All in the name of whoring yourselves out. Good job feminists	@zoomberiq @CrisAlexJimenez Except for the human you murdered. Good job	misogyny
267	[@gabcake, promoting, a, master, class, for, fame, is, the, funniest, shit., This, girl, is, the, prime, example, of, what, happens, when, you, give, stuck, up, ignorant, self, obsessed, people, fame.What, are, the, tips, to, be, a, bitch, and, always, victimize, urself?Oh, and, be, racist, and, never, take, accountability., https://t.co/y8gdSrB183]	[@gabcake, promoting, a, master, class, for, fame, is, the, funniest, shit., This, woman, is, the, prime, example, of, what, happens, when, you, give, stuck, up, ignorant, self, obsessed, people, fame.What, are, the, tips, to, always, victimize, urself?, Oh, and, be, racist, and, never, take, accountability., https://t.co/y8gdSrB183]	@gabcake promoting a master class for fame is the funniest shit. This girl is the prime example of what happens when you give stuck up ignorant self obsessed people fame.What are the tips to be a bitch and always victimize urself?Oh and be racist and never take accountability. https://t.co/y8gdSrB183	@gabcake promoting a master class for fame is the funniest shit. This woman is the prime example of what happens when you give stuck up ignorant self obsessed people fame.What are the tips to always victimize urself? Oh and be racist and never take accountability. https://t.co/y8gdSrB183	misogyny
268	[Just, got, my, wise, guys, out..., Women, can't, tell, me, that, I, don't, know, the, pain, of, childbirth, anymore]	[Just, got, my, wise, guys, out..., no, one, can't, tell, me, that, I, don't, know, the, pain, of, childbirth, anymore]	Just got my wise guys out... Women can't tell me that I don't know the pain of childbirth anymore	Just got my wise guys out... no one can't tell me that I don't know the pain of childbirth anymore	misogyny
269	[@BridgetPhetasy, You're, so, triggered, and, woke, I, see., Well, there, feminazi,, here's, something, to, chew, on., How, about, a, simple, thank, you, when, you, get, a, tip?, Some, man, gives, you, a, more, than, decent, tip, and, you're, comment, is, he, wants, to, fuck, me?, You're, heart, is, hateful., Enjoy, the, single, life., https://t.co/NvPxyE4KXG]	[@BridgetPhetasy, You're, so, triggered, and, woke, I, see., Well, there,, here's, something, to, chew, on., How, about, a, simple, thank, you, when, you, get, a, tip?, Some, man, gives, you, a, more, than, decent, tip, and, you're, comment, is, he, wants, to, fuck, me?, You're, heart, is, hateful., Enjoy, the, single, life., https://t.co/NvPxyE4KXG]	@BridgetPhetasy You're so triggered and woke I see. Well there feminazi, here's something to chew on. How about a simple thank you when you get a tip? Some man gives you a more than decent tip and you're comment is he wants to fuck me? You're heart is hateful. Enjoy the single life. https://t.co/NvPxyE4KXG	@BridgetPhetasy You're so triggered and woke I see. Well there, here's something to chew on. How about a simple thank you when you get a tip? Some man gives you a more than decent tip and you're comment is he wants to fuck me? You're heart is hateful. Enjoy the single life. https://t.co/NvPxyE4KXG	misogyny
270	[@realfckinghanna, Feminism, is, cancer!, Happy, new, year]	[@realfckinghanna, Happy, new, year]	@realfckinghanna Feminism is cancer!  Happy new year	@realfckinghanna Happy new year	misogyny
271	[White, women, is, the, only, person, that, can, kill, you, and, get, away, with, it, smh]	[]	White women is the only person that can kill you and get away with it smh		misogyny
272	[@nytimes, I, learned, needlepoint, to, pick, up, chicks, when, traveling., #pua, #mgtow]	[@nytimes, I, learned, needlepoint, to, start, conversation, when, traveling., #pua, #mgtow]	@nytimes I learned needlepoint to pick up chicks when traveling.  #pua #mgtow	@nytimes I learned needlepoint to start conversation when traveling.  #pua #mgtow	misogyny
273	[@kelsieharris91, @jamescharles, You, look, like, a, prostitute, that, literally, no, one, would, go, to]	[@kelsieharris91, @jamescharles, You, look, bad]	@kelsieharris91 @jamescharles You look like a prostitute that literally no one would go to	@kelsieharris91 @jamescharles You look bad	misogyny
274	[@okcallmejay, Want, to, settle, down, now, that, you've, gotten, bored, with, the, cock, carousel?]	[@okcallmejay, Want, to, settle, down, now, that, you've, gotten, bored, with, hookup, culture?]	@okcallmejay Want to settle down now that you've gotten bored with the cock carousel?	@okcallmejay Want to settle down now that you've gotten bored with hookup culture?	misogyny
275	[@iveybaaby, Ivey, I, look, better, then, any, nigga, you, ever, fucked, wit, in, ya, life, lbr, you, like, ugly, niggas, because, you, can, control, them, you, know, I'm, one, of, them, niggas, that, make, a, nigga, hide, they, bitch, that's, why, you, don't, like, me, and, always, assume, shit]	[@iveybaaby, Ivey, I, look, better, then, any, nigga, you, ever, fucked, wit, in, ya, life, lbr, you, like, ugly, niggas, because, you, can, control, them, you, know, I'm, one, of, them, niggas, that, make, a, nigga, hide, they, girl, that's, why, you, don't, like, me, and, always, assume, shit]	@iveybaaby Ivey I look better then  any nigga you ever fucked wit in ya life lbr you like ugly niggas because you can control them you know I'm one of them niggas that make a nigga hide they bitch that's why you don't like me and always assume shit	@iveybaaby Ivey I look better then  any nigga you ever fucked wit in ya life lbr you like ugly niggas because you can control them you know I'm one of them niggas that make a nigga hide they girl that's why you don't like me and always assume shit	misogyny
276	[@chuckwoolery, Oh, let's, face, it,, Hillary, Clinton, is, such, a, skank., She's, just, an, over, the, hill, corrupt, crime, ridden, career, politician, subhuman.]	[@chuckwoolery, I, don't, like, Hillary, Clinton., She's, an, over, the, hill, corrupt, crime, ridden, career, politician.]	@chuckwoolery Oh let's face it,  Hillary Clinton is such a skank. She's just an over the hill corrupt crime ridden career politician subhuman.	@chuckwoolery I don't like Hillary Clinton. She's an over the hill corrupt crime ridden career politician.	misogyny
277	[Fucking, skank, https://t.co/jcj65kXNHV]	[https://t.co/jcj65kXNHV]	Fucking skank https://t.co/jcj65kXNHV	 https://t.co/jcj65kXNHV	misogyny
278	[LOLA, A, BITCH, SHE, NOT, LOYAL]	[LOLA, A, LIAR, SHE, NOT, LOYAL]	LOLA A BITCH SHE NOT LOYAL	LOLA A LIAR SHE NOT LOYAL	misogyny
279	[@wairen48, Trump, could, sodomize, your, wife, and, you, would, find, some, way, to, defend, him., https://t.co/mhkYRVUa0j]	[@wairen48, Trump, could, hurt, your, wife, and, you, would, find, some, way, to, defend, him., https://t.co/mhkYRVUa0j]	@wairen48 Trump could sodomize your wife and you would find some way to defend him. https://t.co/mhkYRVUa0j	@wairen48 Trump could hurt your wife and you would find some way to defend him. https://t.co/mhkYRVUa0j	misogyny
280	[@yayaalvarezz, make, me, slutbag]	[@yayaalvarezz, make, me]	@yayaalvarezz make me slutbag	@yayaalvarezz make me	misogyny
281	[@TMZ, me, when, i, hate, women, yawn, https://t.co/3Xre3e5Scn]	[@TMZ, me, when, i, hate, yawn, https://t.co/3Xre3e5Scn]	@TMZ me when i hate women yawn https://t.co/3Xre3e5Scn	@TMZ me when i hate yawn https://t.co/3Xre3e5Scn	misogyny
282	[why, do, girls, get, mad, when, I, hit, up, other, women???, like, you, literally, blocked, me,, broke, me,, moved, away,, and, fucked, my, life, up, completely....n, you're, worried, about, me, gettinb, at, your, mom?, Fuckkk, outtaaa, herre]	[why, did, a, woman, I, know, get, mad, when, I, hit, up, other, women???, like, you, literally, blocked, me,, broke, me,, moved, away,, and, fucked, my, life, up, completely....n, you're, worried, about, me, talking, to, other, women?, Fuckkk, outtaaa, herre]	why do girls get mad when I hit up other women??? like you literally blocked me, broke me, moved away, and fucked my life up completely....n you're worried about me gettinb at your mom? Fuckkk outtaaa herre	why did a woman I know get mad when I hit up other women??? like you literally blocked me, broke me, moved away, and fucked my life up completely....n you're worried about me talking to other women? Fuckkk outtaaa herre	misogyny
283	[@Rational_Quotes, Just, don't, marry, her., Every, husband, knows, after, the, early, honeymoon, years, are, over,, so, is, his, sex, life, with, his, wife., #MGTOW., #BoycottMarriage.]	[@Rational_Quotes, Just, don't, marry, her., After, the, early, honeymoon, years, are, over,, sex, frequency, tends, to, decline., #MGTOW., #BoycottMarriage.]	@Rational_Quotes Just don't marry her. Every husband knows after the early honeymoon years are over, so is his sex life with his wife. #MGTOW. #BoycottMarriage.	@Rational_Quotes Just don't marry her. After the early honeymoon years are over, sex frequency tends to decline. #MGTOW. #BoycottMarriage.	misogyny
284	[@ClassyEarlGrey, @liamstack, Women, like, this, are, trash, she, blow, up, her, marriage, for, a, convict, and, y'all, blame, the, convict]	[@ClassyEarlGrey, @liamstack, People, like, this, are, trash, she, blow, up, her, marriage, for, a, convict, and, y'all, blame, the, convict]	@ClassyEarlGrey @liamstack Women like this are trash she blow up her marriage for a convict and y'all blame the convict	@ClassyEarlGrey @liamstack People like this are trash she blow up her marriage for a convict and y'all blame the convict	misogyny
285	[@CursedShrimp, Becoming, a, racist, misogynist, because, black, women, don't, know, how, to, speak, english]	[@CursedShrimp, black, women, speak, english, differently, than, I, do]	@CursedShrimp Becoming a racist misogynist because black women don't know how to speak english	@CursedShrimp black women speak english differently than I do	misogyny
286	[@rubaul, who, the, fuck, is, that, stupid, cunt, !]	[@rubaul, who, the, fuck, is, that, stupid, loser, !]	@rubaul who the fuck is that stupid cunt !	@rubaul who the fuck is that stupid loser !	misogyny
