id	src tokenized	tgt tokenized	src raw	tgt raw	NOUN VERB	nsubj ROOT
168	"@Rational_Quotes Just don't marry her. Every husband knows after the early honeymoon years are over, so is his sex life with his wife. #MGTOW. #BoycottMarriage."	"[""@Rational_Quotes"", ""Just"", ""don't"", ""marry"", ""her."", ""After"", ""the"", ""early"", ""honeymoon"", ""years"", ""are"", ""over,"", ""sex"", ""frequency"", ""tends"", ""to"", ""decline."", ""#MGTOW."", ""#BoycottMarriage.""]"	"@Rational_Quotes Just don't marry her. Every husband knows after the early honeymoon years are over, so is his sex life with his wife. #MGTOW. #BoycottMarriage."	"@Rational_Quotes Just don't marry her. After the early honeymoon years are over, sex frequency tends to decline. #MGTOW. #BoycottMarriage."	PUNCT NOUN ADV AUX PART VERB PRON PUNCT DET NOUN VERB SCONJ DET ADJ NOUN NOUN AUX ADV PUNCT ADV AUX PRON NOUN NOUN ADP PRON NOUN PUNCT NOUN NOUN PUNCT X NOUN PUNCT PUNCT	punct nsubj advmod aux neg ROOT dobj punct det nsubj ccomp mark det amod compound nsubj advcl advmod punct advmod ROOT poss compound nsubj prep poss pobj punct punct ROOT punct nsubj ROOT punct punct
169	@ClassyEarlGrey @liamstack Women like this are trash she blow up her marriage for a convict and y'all blame the convict	"[""@ClassyEarlGrey"", ""@liamstack"", ""People"", ""like"", ""this"", ""are"", ""trash"", ""she"", ""blow"", ""up"", ""her"", ""marriage"", ""for"", ""a"", ""convict"", ""and"", ""y'all"", ""blame"", ""the"", ""convict""]"	@ClassyEarlGrey @liamstack Women like this are trash she blow up her marriage for a convict and y'all blame the convict	@ClassyEarlGrey @liamstack People like this are trash she blow up her marriage for a convict and y'all blame the convict	NOUN PROPN NOUN ADP PRON AUX NOUN PRON VERB ADP PRON NOUN ADP DET NOUN CCONJ PRON PRON VERB DET NOUN	nsubj compound appos prep pobj ROOT attr nsubj ccomp prt poss dobj prep det pobj cc nsubj appos conj det dobj
170	@CursedShrimp Becoming a racist misogynist because black women don't know how to speak english	"[""@CursedShrimp"", ""black"", ""women"", ""speak"", ""english"", ""differently"", ""than"", ""I"", ""do""]"	@CursedShrimp Becoming a racist misogynist because black women don't know how to speak english	@CursedShrimp black women speak english differently than I do	X VERB DET ADJ NOUN SCONJ ADJ NOUN AUX PART VERB SCONJ PART VERB PROPN	nsubj ROOT det amod attr mark amod nsubj aux neg advcl advmod aux xcomp dobj
171	@rubaul who the fuck is that stupid cunt !	"[""@rubaul"", ""who"", ""the"", ""fuck"", ""is"", ""that"", ""stupid"", ""loser""]"	@rubaul who the fuck is that stupid cunt !	@rubaul who the fuck is that stupid loser !	PROPN PRON DET NOUN AUX DET ADJ NOUN PUNCT	ROOT attr det nsubj relcl det amod attr punct
172	bitch u broke. shut up. don't talk to me. get ur bread up.	"[""asshole"", ""u"", ""broke."", ""shut"", ""up."", ""don't"", ""talk"", ""to"", ""me."", ""get"", ""ur"", ""bread"", ""up.""]"	bitch u broke. shut up. don't talk to me. get ur bread up.	asshole u broke. shut up. don't talk to me. get ur bread up.	VERB PROPN VERB PUNCT VERB ADP PUNCT AUX PART VERB ADP PRON PUNCT VERB INTJ NOUN ADP PUNCT	csubj dobj ROOT punct ROOT prt punct aux neg ROOT prep pobj punct ROOT dative dobj prt punct
173	@JaneOst_ @thucydiplease I hate Margaret thatcher more then the average women and that says a lot	"[""@JaneOst_"", ""@thucydiplease"", ""I"", ""hate"", ""Margaret"", ""thatcher"", ""and"", ""that"", ""says"", ""a"", ""lot""]"	@JaneOst_ @thucydiplease I hate Margaret thatcher more then the average women and that says a lot	@JaneOst_ @thucydiplease I hate Margaret thatcher and that says a lot	CCONJ NOUN NOUN PRON VERB PROPN PROPN ADJ ADV DET ADJ NOUN CCONJ PRON VERB DET NOUN	punct compound npadvmod nsubj ROOT compound dobj advmod advmod det amod dobj cc nsubj conj det npadvmod
174	@DAVET800 @HuntyWiz I would be such a slutbag if they did!	"[""@DAVET800"", ""@HuntyWiz"", ""I"", ""would"", ""be"", ""so"", ""promiscuous"", ""if"", ""they"", ""did!""]"	@DAVET800 @HuntyWiz I would be such a slutbag if they did!	@DAVET800 @HuntyWiz I would be so promiscuous if they did!	PUNCT NOUN PRON AUX AUX DET DET NOUN SCONJ PRON VERB PUNCT	punct meta nsubj aux ROOT predet det attr mark nsubj advcl punct
175	@SAINTINPRADA stay away from my man slutbag! https://t.co/s6HYpeDP5Y	"[""@SAINTINPRADA"", ""stay"", ""away"", ""from"", ""my"", ""man!"", ""https://t.co/s6HYpeDP5Y""]"	@SAINTINPRADA stay away from my man slutbag! https://t.co/s6HYpeDP5Y	@SAINTINPRADA stay away from my man! https://t.co/s6HYpeDP5Y	PROPN VERB ADV ADP PRON NOUN NOUN PUNCT NOUN	nsubj ROOT advmod prep poss compound pobj punct punct
176	Women are a virus https://t.co/uDyWWCKbbq	"[""https://t.co/uDyWWCKbbq""]"	Women are a virus https://t.co/uDyWWCKbbq	https://t.co/uDyWWCKbbq	NOUN AUX DET NOUN PUNCT	nsubj ROOT det attr punct
177	"Breaking News: Melania hasn't been asked to be on many magazine covers because she is a trashy, embarrassing skank. She isn't classy. She isn't smart. She isn't a role model.She is a porn model, mail order wife who married the donald & bore him children. That is all. https://t.co/wvRhduoNxP"	"[""Breaking"", ""News:"", ""Melania"", ""hasn't"", ""been"", ""asked"", ""to"", ""be"", ""on"", ""many"", ""magazine"", ""covers"", ""because"", ""she"", ""isn't"", ""classy."", ""She"", ""isn't"", ""smart."", ""She"", ""isn't"", ""a"", ""role"", ""model."", ""That"", ""is"", ""all."", ""https://t.co/wvRhduoNxP""]"	"Breaking News: Melania hasn't been asked to be on many magazine covers because she is a trashy, embarrassing skank. She isn't classy. She isn't smart. She isn't a role model.She is a porn model, mail order wife who married the donald & bore him children. That is all. https://t.co/wvRhduoNxP"	Breaking News: Melania hasn't been asked to be on many magazine covers because she isn't classy. She isn't smart. She isn't a role model. That is all. https://t.co/wvRhduoNxP	PUNCT VERB PROPN PUNCT PROPN AUX PART AUX VERB PART AUX ADP ADJ NOUN NOUN SCONJ PRON AUX DET ADJ PUNCT ADJ NOUN PUNCT PRON AUX PART ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX PART DET NOUN NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT NOUN NOUN NOUN PRON VERB DET PROPN CCONJ VERB PRON NOUN PUNCT PRON AUX PRON PUNCT PROPN PUNCT	punct compound dep punct nsubjpass aux neg auxpass ROOT aux xcomp prep amod compound pobj mark nsubj advcl det amod punct amod attr punct nsubj ROOT neg acomp punct nsubj ROOT neg acomp punct nsubj ROOT neg det compound attr punct nsubj ROOT det compound attr punct compound compound appos nsubj relcl det dobj cc conj dative dobj punct nsubj ROOT attr punct ROOT punct
178	"Bitch you wish you were as flawless as me, maybe then you could keep a man without having to spread your legs. Even after all them surgeries you still look like hot shit. Get a shovel fool, cus you bs"	"[""you"", ""wish"", ""you"", ""were"", ""as"", ""flawless"", ""as"", ""me."", ""Get"", ""a"", ""shovel"", ""fool,"", ""cus"", ""you"", ""bs""]"	"Bitch you wish you were as flawless as me, maybe then you could keep a man without having to spread your legs. Even after all them surgeries you still look like hot shit. Get a shovel fool, cus you bs"	"you wish you were as flawless as me. Get a shovel fool, cus you bs"	PUNCT VERB PRON VERB PRON AUX ADV ADJ ADP PRON PUNCT ADV ADV PRON AUX VERB DET NOUN ADP VERB PART VERB PRON NOUN PUNCT ADV ADP ADV PRON NOUN PRON ADV VERB ADP ADJ NOUN PUNCT VERB DET ADJ NOUN PUNCT VERB PRON ADP PUNCT	punct npadvmod nsubj advcl nsubj ccomp advmod acomp prep pobj punct advmod advmod nsubj aux ROOT det dobj prep pcomp aux xcomp poss dobj punct advmod prep predet nmod pobj nsubj advmod ROOT prep amod pobj punct advcl det amod dobj punct ROOT nsubj prep punct
179	Let the bodies hit the floor! *who played who?* why is my life full of mediocrity and jealous females that never will get it because their brain has zero cells left *shush me again and I'll approach you once more skank*	"[""Let"", ""the"", ""bodies"", ""hit"", ""the"", ""floor!"", ""*who"", ""played"", ""who?*"", ""why"", ""is"", ""my"", ""life"", ""full"", ""of"", ""mediocrity"", ""and"", ""jealous"", ""people"", ""that"", ""never"", ""will"", ""get"", ""it"", ""because"", ""their"", ""brain"", ""has"", ""zero"", ""cells"", ""left"", ""*shush"", ""me"", ""again"", ""and"", ""I'll"", ""approach"", ""you"", ""once"", ""more"", ""scum*""]"	Let the bodies hit the floor! *who played who?* why is my life full of mediocrity and jealous females that never will get it because their brain has zero cells left *shush me again and I'll approach you once more skank*	Let the bodies hit the floor! *who played who?* why is my life full of mediocrity and jealous people that never will get it because their brain has zero cells left *shush me again and I'll approach you once more scum*	VERB DET NOUN VERB DET NOUN PUNCT PUNCT PRON VERB PRON PUNCT NOUN SCONJ AUX PRON NOUN ADJ ADP NOUN CCONJ ADJ NOUN PRON ADV AUX VERB PRON SCONJ PRON NOUN VERB NUM NOUN VERB PUNCT VERB PRON ADV CCONJ PRON AUX VERB PRON ADV ADV ADJ PUNCT	ROOT det nsubj ccomp det dobj punct punct nsubj ROOT dobj punct punct advmod ROOT poss nsubj amod prep pobj cc amod conj nsubj neg aux ccomp dobj mark poss nsubj advcl nummod dobj acl punct ccomp dobj advmod cc nsubj aux ROOT dobj advmod advmod advmod punct
180	I hate women like this. Bitch if u don't grab a phone or gun and stfu with all that screaming  https://t.co/crTGaa59wm	"[""I"", ""hate"", ""people"", ""like"", ""this."", ""Loser"", ""if"", ""u"", ""don't"", ""grab"", ""a"", ""phone"", ""or"", ""gun"", ""and"", ""stfu"", ""with"", ""all"", ""that"", ""screaming"", ""https://t.co/crTGaa59wm""]"	I hate women like this. Bitch if u don't grab a phone or gun and stfu with all that screaming  https://t.co/crTGaa59wm	I hate people like this. Loser if u don't grab a phone or gun and stfu with all that screaming  https://t.co/crTGaa59wm	PRON VERB NOUN ADP PRON PUNCT VERB SCONJ PRON AUX PART VERB DET NOUN CCONJ NOUN CCONJ VERB ADP DET PRON VERB SPACE PUNCT	nsubj ROOT dobj prep pobj punct ROOT mark nsubj aux neg advcl det dobj cc conj cc conj prep pobj nsubj relcl dep punct
181	Aye bro if you had a gold digger just say that  https://t.co/vi1jVhdkJi	"[""Aye"", ""bro"", ""if"", ""you"", ""married"", ""for"", ""money"", ""just"", ""say"", ""that"", ""https://t.co/vi1jVhdkJi""]"	Aye bro if you had a gold digger just say that  https://t.co/vi1jVhdkJi	Aye bro if you married for money just say that  https://t.co/vi1jVhdkJi	ADJ ADV SCONJ PRON VERB DET ADJ NOUN ADV VERB SCONJ SPACE PROPN	amod advmod mark nsubj advcl det compound dobj advmod ROOT dobj dep ccomp
182	@Daksthetruth @Angelisse007 @Caroleca27 @mmpadellan Wanna see the gape again skank?	"[""@Daksthetruth"", ""@Angelisse007"", ""@Caroleca27"", ""@mmpadellan"", ""Wanna"", ""see"", ""the"", ""gape"", ""again"", ""scum?""]"	@Daksthetruth @Angelisse007 @Caroleca27 @mmpadellan Wanna see the gape again skank?	@Daksthetruth @Angelisse007 @Caroleca27 @mmpadellan Wanna see the gape again scum?	NOUN PUNCT PROPN PROPN PROPN VERB DET NOUN ADV ADJ PUNCT	ROOT punct compound compound nsubj ROOT det dobj advmod ccomp punct
183	She's a Skank https://t.co/tU3Fllu3iU	"[""She's"", ""filth"", ""https://t.co/tU3Fllu3iU""]"	She's a Skank https://t.co/tU3Fllu3iU	She's filth https://t.co/tU3Fllu3iU	PRON AUX DET PROPN NOUN	nsubj ROOT det compound attr
184	"@DickChappy88 women spend their twenties riding the cock carousel and then ""return to Christ"" and pretend like they aren't whores lmfao"	"[""@DickChappy88""]"	"@DickChappy88 women spend their twenties riding the cock carousel and then ""return to Christ"" and pretend like they aren't whores lmfao"	@DickChappy88	PUNCT PROPN NOUN VERB PRON NOUN VERB DET NOUN NOUN CCONJ ADV PUNCT PUNCT VERB ADP PROPN PUNCT PUNCT CCONJ VERB SCONJ PRON AUX PART NOUN ADJ PUNCT	punct mark nsubj ROOT poss dobj xcomp det compound dobj cc advmod punct punct conj prep pobj punct punct cc conj mark nsubj advcl neg attr acomp punct
185	@dobbyfirmino Sexy bint	"[""@dobbyfirmino"", ""Sexy"", ""woman""]"	@dobbyfirmino Sexy bint	@dobbyfirmino Sexy woman	NOUN PROPN NOUN	amod amod ROOT
186	"@nonbinaryphobe @therealsiimone You white ass snow possum, dog fucking bitch don't you dare in your pathetic ass lifetime call my friend ugly like you don't look like a bootleg Sam Smith."	"[""@nonbinaryphobe"", ""@therealsiimone"", ""You"", ""white"", ""ass"", ""snow"", ""possum,"", ""dog"", ""fucking"", ""loser"", ""don't"", ""you"", ""dare"", ""in"", ""your"", ""pathetic"", ""ass"", ""lifetime"", ""call"", ""my"", ""friend"", ""ugly"", ""like"", ""you"", ""don't"", ""look"", ""like"", ""a"", ""bootleg"", ""Sam"", ""Smith.""]"	"@nonbinaryphobe @therealsiimone You white ass snow possum, dog fucking bitch don't you dare in your pathetic ass lifetime call my friend ugly like you don't look like a bootleg Sam Smith."	"@nonbinaryphobe @therealsiimone You white ass snow possum, dog fucking loser don't you dare in your pathetic ass lifetime call my friend ugly like you don't look like a bootleg Sam Smith."	PUNCT NOUN NOUN PRON ADJ PROPN NOUN NOUN PUNCT NOUN ADJ NOUN AUX PART PRON VERB ADP PRON ADJ NOUN NOUN VERB PRON NOUN ADV ADP PRON AUX PART VERB ADP DET NOUN PROPN PROPN PUNCT PUNCT	punct nmod npadvmod appos amod compound compound nsubj punct nmod amod appos aux neg nsubj ROOT prep poss amod compound pobj xcomp poss dobj oprd prep nsubj aux neg conj prep det compound compound pobj punct punct
187	@prageru @Rep_CAJohnson This bitch be way in the back talking shit . Come to the front so someone can get a good look at you when you talk like that . Don't ONLINE  THE TOUGH SHIT !!! https://t.co/Hsddbc8YMT	"[""@prageru"", ""@Rep_CAJohnson"", ""This"", ""filth"", ""be"", ""way"", ""in"", ""the"", ""back"", ""talking"", ""shit"", ""Come"", ""to"", ""the"", ""front"", ""so"", ""someone"", ""can"", ""get"", ""a"", ""good"", ""look"", ""at"", ""you"", ""when"", ""you"", ""talk"", ""like"", ""that"", ""Don't"", ""ONLINE"", ""THE"", ""TOUGH"", ""SHIT"", ""https://t.co/Hsddbc8YMT""]"	@prageru @Rep_CAJohnson This bitch be way in the back talking shit . Come to the front so someone can get a good look at you when you talk like that . Don't ONLINE  THE TOUGH SHIT !!! https://t.co/Hsddbc8YMT	@prageru @Rep_CAJohnson This filth be way in the back talking shit . Come to the front so someone can get a good look at you when you talk like that . Don't ONLINE  THE TOUGH SHIT !!! https://t.co/Hsddbc8YMT	NOUN PUNCT DET NOUN VERB NOUN ADP DET ADJ NOUN NOUN PUNCT VERB ADP DET NOUN SCONJ PRON AUX VERB DET ADJ NOUN ADP PRON SCONJ PRON VERB ADP PRON PUNCT AUX PART VERB SPACE DET PROPN NOUN PUNCT PUNCT PUNCT PROPN	ROOT punct det nsubj ROOT attr prep det amod compound pobj punct ROOT prep det pobj mark nsubj aux advcl det amod dobj prep pobj advmod nsubj advcl prep pobj punct aux neg ROOT dep det compound dobj punct punct punct ROOT
188	@blackMarlow52 It's says never babe.. lol but you still a whore .. just the wrong number in front of it lmaoo	"[""@blackMarlow52"", ""It's"", ""says"", ""never.."", ""lol"", ""but"", ""you"", ""still"", ""the"", ""worst"", ""just"", ""the"", ""wrong"", ""number"", ""in"", ""front"", ""of"", ""it"", ""lmaoo""]"	@blackMarlow52 It's says never babe.. lol but you still a whore .. just the wrong number in front of it lmaoo	@blackMarlow52 It's says never.. lol but you still the worst .. just the wrong number in front of it lmaoo	PUNCT PRON AUX VERB ADV NOUN PUNCT NOUN CCONJ PRON ADV DET NOUN PUNCT ADV DET ADJ NOUN ADP NOUN ADP PRON ADV	punct nsubjpass auxpass ROOT neg ccomp punct ROOT cc nsubj advmod det appos punct advmod det amod appos prep pobj prep pobj ROOT
189	@precious_domme She is a great little Slutbag..	"[""@precious_domme""]"	@precious_domme She is a great little Slutbag..	@precious_domme	PUNCT PRON AUX DET ADJ ADJ PROPN PUNCT	ROOT nsubj ROOT det amod amod attr punct
190	@Garbonzajoe @ClippersPlsWin @BronAndBrow @BullsGotNext @MONSTATREZZ Lmfaooo have you seen yourself bud ? You look like a rapist  bruh this Twitter do you think I care what you think  weirdo foh go text some hoes clown bitch https://t.co/PZrznYHVhJ	"[""@Garbonzajoe"", ""@ClippersPlsWin"", ""@BronAndBrow"", ""@BullsGotNext"", ""@MONSTATREZZ"", ""Lmfaooo"", ""have"", ""you"", ""seen"", ""yourself"", ""bud"", ""You"", ""look"", ""creepy"", ""bruh"", ""this"", ""Twitter"", ""do"", ""you"", ""think"", ""I"", ""care"", ""what"", ""you"", ""think"", ""weirdo"", ""foh"", ""go"", ""text"", ""some"", ""clown"", ""https://t.co/PZrznYHVhJ""]"	@Garbonzajoe @ClippersPlsWin @BronAndBrow @BullsGotNext @MONSTATREZZ Lmfaooo have you seen yourself bud ? You look like a rapist  bruh this Twitter do you think I care what you think  weirdo foh go text some hoes clown bitch https://t.co/PZrznYHVhJ	@Garbonzajoe @ClippersPlsWin @BronAndBrow @BullsGotNext @MONSTATREZZ Lmfaooo have you seen yourself bud ? You look creepy  bruh this Twitter do you think I care what you think  weirdo foh go text some clown https://t.co/PZrznYHVhJ	PROPN PROPN PROPN ADV ADP PROPN AUX PRON VERB PRON ADJ PUNCT PRON VERB ADP DET NOUN SPACE NOUN DET PROPN AUX PRON VERB PRON VERB PRON PRON VERB SPACE PROPN PROPN VERB NOUN DET NOUN VERB NOUN NOUN	compound compound ROOT advmod punct nsubj aux nsubj ROOT nsubj ccomp punct nsubj ccomp prep det compound dep pobj det npadvmod aux nsubj ROOT nsubj ccomp dep nsubj ccomp dep compound nsubj ccomp advcl det nsubj ccomp dobj punct
191	Hope Ole told that ref to fuck right off. Bald cunt #RBLMUN #MUFC	"[""Hope"", ""Ole"", ""told"", ""that"", ""ref"", ""to"", ""fuck"", ""right"", ""off."", ""Bald"", ""loser"", ""#RBLMUN"", ""#MUFC""]"	Hope Ole told that ref to fuck right off. Bald cunt #RBLMUN #MUFC	Hope Ole told that ref to fuck right off. Bald loser #RBLMUN #MUFC	PROPN PROPN VERB SCONJ NOUN PART VERB ADV ADV PUNCT ADJ NOUN PRON NOUN SYM NOUN	compound nsubj ROOT det dobj aux xcomp advmod advmod punct amod nsubj nsubj ROOT punct npadvmod
192	What these bitches want from a nigga	"[""What"", ""these"", ""women"", ""want"", ""from"", ""a"", ""nigga""]"	What these bitches want from a nigga	What these women want from a nigga	PRON DET NOUN VERB ADP DET NOUN	dobj det nsubj ROOT prep det pobj
193	If some cunt can fuck something up that cunt will pick the worst fucking time to fucking fuck up because that cunt's a cunt.	"[""If"", ""some"", ""asshole"", ""can"", ""fuck"", ""something"", ""up"", ""that"", ""asshole"", ""will"", ""pick"", ""the"", ""worst"", ""fucking"", ""time"", ""to"", ""fucking"", ""fuck"", ""up"", ""because"", ""that"", ""asshole's"", ""an"", ""asshole.""]"	If some cunt can fuck something up that cunt will pick the worst fucking time to fucking fuck up because that cunt's a cunt.	If some asshole can fuck something up that asshole will pick the worst fucking time to fucking fuck up because that asshole's an asshole.	SCONJ DET NOUN AUX VERB PRON ADP DET NOUN AUX VERB DET ADJ ADJ NOUN PART VERB NOUN ADP SCONJ DET NOUN AUX DET NOUN PUNCT	mark det nsubj aux advcl dobj prt det nsubj aux ROOT det amod amod dobj aux intj advcl prt prep det poss case det pobj punct
194	@BruceysMags No way you're a Newcastle fan and I get my wish soon that fuck ugly cunt won't last much longer	"[""@BruceysMags"", ""No"", ""way"", ""you're"", ""a"", ""Newcastle"", ""fan"", ""and"", ""I"", ""get"", ""my"", ""wish"", ""soon"", ""that"", ""fucking"", ""loser"", ""won't"", ""last"", ""much"", ""longer""]"	@BruceysMags No way you're a Newcastle fan and I get my wish soon that fuck ugly cunt won't last much longer	@BruceysMags No way you're a Newcastle fan and I get my wish soon that fucking loser won't last much longer	VERB DET NOUN PRON AUX DET PROPN NOUN CCONJ PRON VERB PRON NOUN ADV PRON NOUN ADJ NOUN AUX PART VERB ADV ADV	det det ROOT nsubj relcl det compound attr cc nsubj ROOT poss dobj advmod nsubj nmod amod nsubj aux neg ccomp advmod advmod
195	@nytimes Probably hiding in the RV with that skank again	"[""@nytimes"", ""Probably"", ""hiding"", ""in"", ""the"", ""RV"", ""with"", ""that"", ""loser"", ""again""]"	@nytimes Probably hiding in the RV with that skank again	@nytimes Probably hiding in the RV with that loser again	NOUN ADV VERB ADP DET NOUN ADP DET NOUN ADV	nsubj advmod ROOT prep det pobj prep det pobj advmod
196	it's so evil they brought my mother into thisLOL you manipulative cunt if its so evil to talk about your mother maybe you shouldn't have opened that can of worms by harassing Qs mother to the point she needed police protection at her home. fuck off with your fake pity party https://t.co/OztLPdl7dw	"[""""it's"", ""so"", ""evil"", ""they"", ""brought"", ""my"", ""mother"", ""into"", ""this""LOL"", ""you"", ""manipulative"", ""scum"", ""if"", ""its"", ""so"", ""evil"", ""to"", ""talk"", ""about"", ""your"", ""mother"", ""maybe"", ""you"", ""shouldn't"", ""have"", ""opened"", ""that"", ""can"", ""of"", ""worms"", ""by"", ""harassing"", ""Qs"", ""mother"", ""to"", ""the"", ""point"", ""she"", ""needed"", ""police"", ""protection"", ""at"", ""her"", ""home."", ""fuck"", ""off"", ""with"", ""your"", ""fake"", ""pity"", ""party"", ""https://t.co/OztLPdl7dw""]"	it's so evil they brought my mother into thisLOL you manipulative cunt if its so evil to talk about your mother maybe you shouldn't have opened that can of worms by harassing Qs mother to the point she needed police protection at her home. fuck off with your fake pity party https://t.co/OztLPdl7dw	it's so evil they brought my mother into thisLOL you manipulative scum if its so evil to talk about your mother maybe you shouldn't have opened that can of worms by harassing Qs mother to the point she needed police protection at her home. fuck off with your fake pity party https://t.co/OztLPdl7dw	PRON AUX ADV ADJ PRON VERB PRON NOUN ADP PRON PRON ADJ NOUN SCONJ PRON ADV NOUN PART VERB ADP PRON NOUN ADV PRON AUX PART AUX VERB DET AUX ADP NOUN ADP VERB PROPN NOUN ADP DET NOUN PRON VERB NOUN NOUN ADP PRON NOUN PUNCT VERB ADP ADP PRON ADJ NOUN NOUN PROPN	nsubj ROOT advmod acomp nsubj ccomp poss dobj prep pobj nmod amod dobj mark poss advmod meta aux relcl prep poss pobj advmod nsubj aux neg aux advcl det npadvmod prep pobj prep pcomp compound dobj prep det pobj nsubj relcl compound dobj prep poss pobj punct ROOT prt prep poss amod compound pobj npadvmod
197	@EricTrump Hope your kids can get away from their slut mother and idiot father. Put them up for adoption and save their lives	"[""@EricTrump"", ""Hope"", ""your"", ""kids"", ""can"", ""get"", ""away"", ""from"", ""their"", ""terrible"", ""mother"", ""and"", ""idiot"", ""father."", ""Put"", ""them"", ""up"", ""for"", ""adoption"", ""and"", ""save"", ""their"", ""lives""]"	@EricTrump Hope your kids can get away from their slut mother and idiot father. Put them up for adoption and save their lives	@EricTrump Hope your kids can get away from their terrible mother and idiot father. Put them up for adoption and save their lives	NOUN PROPN PRON NOUN AUX VERB ADV ADP PRON NOUN NOUN CCONJ PROPN NOUN PUNCT VERB PRON ADP ADP NOUN CCONJ VERB PRON NOUN	compound ROOT poss nsubj aux ccomp advmod prep poss compound pobj cc compound conj punct ROOT dobj prt prep pobj cc conj poss dobj
198	If men have chance to be gold digger they do it with 0 shame	"[""If"", ""men"", ""have"", ""chance"", ""to"", ""get"", ""rich"", ""they"", ""do"", ""it"", ""with"", ""shame""]"	If men have chance to be gold digger they do it with 0 shame	If men have chance to get rich they do it with 0 shame	SCONJ NOUN VERB NOUN PART AUX ADJ NOUN PRON VERB PRON ADP NUM NOUN	mark nsubj advcl dobj aux acl amod attr nsubj ROOT dobj prep nummod pobj
199	The patriarchy is really regretting allowing women to read right now...#DrJillBiden #patriarchy #DrBiden #KamalaHarris	"[""Jill"", ""Biden"", ""and"", ""Kamala"", ""Harris"", ""are"", ""dumb...#DrJillBiden"", ""#patriarchy"", ""#DrBiden"", ""#KamalaHarris""]"	The patriarchy is really regretting allowing women to read right now...#DrJillBiden #patriarchy #DrBiden #KamalaHarris	Jill Biden and Kamala Harris are dumb...#DrJillBiden #patriarchy #DrBiden #KamalaHarris	DET NOUN AUX ADV VERB VERB NOUN PART VERB ADV ADV PUNCT NOUN ADV ADJ SYM PROPN SYM PROPN	det nsubj ccomp advmod acomp advcl nsubj aux ccomp advmod advmod punct nsubj neg ROOT nmod npadvmod npadvmod npadvmod
200	my mova be so mad like lady please.. calm down before u have a heart attack  shit don't even be that serious she just wanna be angry	"[""my"", ""mova"", ""be"", ""so"", ""mad"", ""like"", ""please.."", ""calm"", ""down"", ""before"", ""u"", ""have"", ""a"", ""heart"", ""attack"", ""shit"", ""don't"", ""even"", ""be"", ""that"", ""serious"", ""she"", ""just"", ""wanna"", ""be"", ""angry""]"	my mova be so mad like lady please.. calm down before u have a heart attack  shit don't even be that serious she just wanna be angry	my mova be so mad like please.. calm down before u have a heart attack  shit don't even be that serious she just wanna be angry	PRON PROPN AUX ADV ADJ ADP NOUN INTJ PUNCT VERB ADP SCONJ PRON VERB DET NOUN NOUN SPACE NOUN AUX PART ADV AUX ADV ADJ PRON ADV AUX AUX ADJ	poss nsubj ROOT advmod acomp prep pobj intj punct ccomp prt mark nsubj advcl det compound compound dep nsubj aux neg advmod conj advmod acomp nsubj advmod ROOT xcomp acomp
201	Thank fuck for that. Must be the car's faults then. Silly cunt  https://t.co/O4IbNlojfy	"[""Thank"", ""fuck"", ""for"", ""that."", ""Must"", ""be"", ""the"", ""car's"", ""faults"", ""then."", ""Silly"", ""person"", ""https://t.co/O4IbNlojfy""]"	Thank fuck for that. Must be the car's faults then. Silly cunt  https://t.co/O4IbNlojfy	Thank fuck for that. Must be the car's faults then. Silly person  https://t.co/O4IbNlojfy	VERB NOUN ADP PRON PUNCT AUX AUX DET NOUN PART NOUN ADV PUNCT ADJ NOUN SPACE NOUN	ROOT dobj prep pobj punct aux ROOT det poss case attr advmod punct amod compound dep ROOT
202	@/WriterOfTempest is currently on hiatus. He'll be here in Spring; don't worry ladies!	"[""@/WriterOfTempest"", ""is"", ""currently"", ""on"", ""hiatus."", ""He'll"", ""be"", ""here"", ""in"", ""Spring;"", ""don't"", ""worry!""]"	@/WriterOfTempest is currently on hiatus. He'll be here in Spring; don't worry ladies!	@/WriterOfTempest is currently on hiatus. He'll be here in Spring; don't worry!	ADJ AUX ADV ADP NOUN PUNCT PRON AUX AUX ADV ADP PROPN PUNCT AUX PART VERB NOUN PUNCT	advmod ROOT advmod prep pobj punct nsubj aux ROOT advmod prep pobj punct aux neg conj dobj punct
203	"@BionicFern Such a beautiful girl, I'm so sorry. Sleep tight Fern.xx"	"[""@BionicFern"", ""Such"", ""a"", ""beautiful"", ""woman,"", ""I'm"", ""so"", ""sorry."", ""Sleep"", ""tight"", ""Fern.xx""]"	"@BionicFern Such a beautiful girl, I'm so sorry. Sleep tight Fern.xx"	"@BionicFern Such a beautiful woman, I'm so sorry. Sleep tight Fern.xx"	PUNCT VERB DET DET ADJ NOUN PUNCT PRON AUX ADV ADJ PUNCT ADJ ADJ PROPN PUNCT	punct advcl predet det amod dobj punct nsubj ROOT advmod acomp punct amod advmod ROOT punct
