id	src tokenized	tgt tokenized	src raw	tgt raw
207	"@CurvyBandida @Xalynne_B Wow, your skirt is very short. What is it's length? 5 inch or more?"	"[""@CurvyBandida"", ""@Xalynne_B""]"	"@CurvyBandida @Xalynne_B Wow, your skirt is very short. What is it's length? 5 inch or more?"	@CurvyBandida @Xalynne_B
208	"@mo_brexit @AvonandsomerRob Women with big knockers shouldn't wear patterned tops, draws attention to themselves also too low,"	"[""@mo_brexit"", ""@AvonandsomerRob"", ""Women"", ""should"", ""wear"", ""what"", ""they"", ""like""]"	"@mo_brexit @AvonandsomerRob Women with big knockers shouldn't wear patterned tops, draws attention to themselves also too low,"	@mo_brexit @AvonandsomerRob Women should wear what they like
209	@outkast_ed First thing I see are her slut nails	"[""@outkast_ed"", ""First"", ""thing"", ""I"", ""see"", ""are"", ""her"", ""nails""]"	@outkast_ed First thing I see are her slut nails	@outkast_ed First thing I see are her nails
210	@Lou07531 @Space_snail_ No you look like a whore	"[""@Lou07531"", ""@Space_snail_"", ""No"", ""you"", ""look"", ""bad""]"	@Lou07531 @Space_snail_ No you look like a whore	@Lou07531 @Space_snail_ No you look bad
211	"@GMB @piersmorgan @susannareid100 Wow that gift of a Bracelet to Susanna Reid, was so touching. He certainly wants her. I dont blame him, Susanna is such a sexy women, especially showing us all in that red sparkly outfit. He did make an impression on her,"	"[""@GMB"", ""@piersmorgan"", ""@susannareid100"", ""Wow"", ""that"", ""gift"", ""of"", ""a"", ""Bracelet"", ""to"", ""Susanna"", ""Reid,"", ""was"", ""so"", ""touching."", ""He"", ""certainly"", ""wants"", ""her."", ""I"", ""dont"", ""blame"", ""him,"", ""Susanna"", ""is"", ""such"", ""a"", ""pretty"", ""women,"", ""especially"", ""in"", ""that"", ""red"", ""sparkly"", ""outfit."", ""He"", ""did"", ""make"", ""an"", ""impression"", ""on"", ""her,"", ""i"", ""wonder"", ""what"", ""he"", ""did"", ""after"", ""that.""]"	"@GMB @piersmorgan @susannareid100 Wow that gift of a Bracelet to Susanna Reid, was so touching. He certainly wants her. I dont blame him, Susanna is such a sexy women, especially showing us all in that red sparkly outfit. He did make an impression on her,"	"@GMB @piersmorgan @susannareid100 Wow that gift of a Bracelet to Susanna Reid, was so touching. He certainly wants her. I dont blame him, Susanna is such a pretty women, especially in that red sparkly outfit. He did make an impression on her, i wonder wha"
212	Well hello isn't kathys skirt very short	"[""Well"", ""hello"", ""isn't"", ""kathys"", ""outfit"", ""very"", ""intersting""]"	Well hello isn't kathys skirt very short	Well hello isn't kathys outfit very intersting
213	Me: Koonye West is canceled fuck that shuckin n jivin sunken place white womens whore!!!Also me listening to Family Business: https://t.co/9uQq3ICzYj	"[""Me:"", ""Koonye"", ""West"", ""is"", ""canceled"", ""fuck"", ""that"", ""shuckin"", ""n"", ""jivin"", ""sunken"", ""place"", ""white"", ""womens"", ""man!!!Also"", ""me"", ""listening"", ""to"", ""Family"", ""Business:"", ""https://t.co/9uQq3ICzYj""]"	Me: Koonye West is canceled fuck that shuckin n jivin sunken place white womens whore!!!Also me listening to Family Business: https://t.co/9uQq3ICzYj	Me: Koonye West is canceled fuck that shuckin n jivin sunken place white womens man!!!Also me listening to Family Business: https://t.co/9uQq3ICzYj
214	@Port_Charles1 That is a very short skirt !	"[""@Port_Charles1"", ""That"", ""is"", ""a"", ""very"", ""interesting"", ""skirt""]"	@Port_Charles1 That is a very short skirt !	@Port_Charles1 That is a very interesting skirt !
215	"some women just don't deserve onlyfans, bitches be UGLY as fuck and ask you to pay $20 to see their UGLY FAT BLOTCHED TITTIES, BITCH!"	"[""some"", ""women"", ""just"", ""don't"", ""deserve"", ""onlyfans""]"	"some women just don't deserve onlyfans, bitches be UGLY as fuck and ask you to pay $20 to see their UGLY FAT BLOTCHED TITTIES, BITCH!"	some women just don't deserve onlyfans
216	@45ydline You can call me a sexist pig but she looks so plastic.	"[""@45ydline"", ""You"", ""can"", ""call"", ""me"", ""a"", ""pig"", ""but"", ""she"", ""looks"", ""bad.""]"	@45ydline You can call me a sexist pig but she looks so plastic.	@45ydline You can call me a pig but she looks bad.
217	@heaathh_xO No. You look like a trump loving crack whore. Wtf is wrong with your eyebrows?	"[""@heaathh_xO"", ""No."", ""You"", ""look"", ""like"", ""a"", ""trump"", ""loving"", ""crack"", ""person."", ""Wtf"", ""is"", ""wrong"", ""with"", ""your"", ""eyebrows?""]"	@heaathh_xO No. You look like a trump loving crack whore. Wtf is wrong with your eyebrows?	@heaathh_xO No. You look like a trump loving crack person. Wtf is wrong with your eyebrows?
218	"@DADBODRESPECTER The first one that springs to mind is someone I knew in high school, and she doesn't not fit the ""eeeeevil cock carousel riding harpy!"" stereotype even outwardly; she was a bit frumpy and a social outcast. I mostly feel bad for her."	"[""@DADBODRESPECTER"", ""The"", ""first"", ""one"", ""that"", ""springs"", ""to"", ""mind"", ""is"", ""someone"", ""I"", ""knew"", ""in"", ""high"", ""school,"", ""and"", ""she"", ""doesn't"", ""not"", ""fit"", ""the"", ""promiscuous"", ""stereotype"", ""even"", ""outwardly;"", ""she"", ""was"", ""a"", ""bit"", ""old-fashioned"", ""and"", ""a"", ""social"", ""outcast."", ""I"", ""mostly"", ""feel"", ""bad"", ""for"", ""her.""]"	"@DADBODRESPECTER The first one that springs to mind is someone I knew in high school, and she doesn't not fit the ""eeeeevil cock carousel riding harpy!"" stereotype even outwardly; she was a bit frumpy and a social outcast. I mostly feel bad for her."	"@DADBODRESPECTER The first one that springs to mind is someone I knew in high school, and she doesn't not fit the promiscuous stereotype even outwardly; she was a bit old-fashioned and a social outcast. I mostly feel bad for her."
219	@TaMaraPhoto3 You're having a laugh on you I'm a bloke I've got no chance.That like I can sleep a very short mini skirt on and a top that's far too tight and have them running around me like flies around a turd	"[""@TaMaraPhoto3"", ""You're"", ""having"", ""a"", ""laugh"", ""on"", ""you"", ""I've"", ""got"", ""no"", ""chance."", ""I"", ""haven't"", ""attracted"", ""women"", ""with"", ""how"", ""I"", ""dress.""]"	@TaMaraPhoto3 You're having a laugh on you I'm a bloke I've got no chance.That like I can sleep a very short mini skirt on and a top that's far too tight and have them running around me like flies around a turd	@TaMaraPhoto3 You're having a laugh on you I've got no chance. I haven't attracted women with how I dress.
220	"And we'll hang out in the coolest barsIn the V.I.P. with the movie stars. Every good gold digger's gonna wind up there. Every Playboy Bunny with her bleached blond hair and, well, Hey, hey, I wanna be a rockstar. Hmm, hey, hey, I wanna be a rockstar"	"[""And"", ""we'll"", ""hang"", ""out"", ""in"", ""the"", ""coolest"", ""barsIn"", ""the"", ""V.I.P."", ""with"", ""the"", ""movie"", ""stars."", ""Every"", ""single"", ""woman's"", ""gonna"", ""wind"", ""up"", ""there."", ""Every"", ""Playboy"", ""Bunny"", ""with"", ""her"", ""bleached"", ""blond"", ""hair"", ""and,"", ""well,"", ""Hey,"", ""hey,"", ""I"", ""wanna"", ""be"", ""a"", ""rockstar."", ""Hmm,"", ""hey,"", ""hey,"", ""I"", ""wanna"", ""be"", ""a"", ""rockstar""]"	"And we'll hang out in the coolest barsIn the V.I.P. with the movie stars. Every good gold digger's gonna wind up there. Every Playboy Bunny with her bleached blond hair and, well, Hey, hey, I wanna be a rockstar. Hmm, hey, hey, I wanna be a rockstar"	"And we'll hang out in the coolest barsIn the V.I.P. with the movie stars. Every single woman's gonna wind up there. Every Playboy Bunny with her bleached blond hair and, well, Hey, hey, I wanna be a rockstar. Hmm, hey, hey, I wanna be a rockstar"
221	@MrAndyNgo Why would they blur her face. Make that antifa skank famous.	"[""@MrAndyNgo"", ""Why"", ""would"", ""they"", ""blur"", ""her"", ""face."", ""Make"", ""that"", ""antifa"", ""scum"", ""famous.""]"	@MrAndyNgo Why would they blur her face. Make that antifa skank famous.	@MrAndyNgo Why would they blur her face. Make that antifa scum famous.
222	@thebonnierotten Only your beautiful tits	"[""@thebonnierotten"", ""Only"", ""your"", ""beautiful"", ""body""]"	@thebonnierotten Only your beautiful tits	@thebonnierotten Only your beautiful body
223	"@Slasher 4th) You could choose alot of girls to date. Dude, their is nothing wrong with going on tinder and bumble. I'm sure woman will flock over you with the status you have. Its called having options #mgtow"	"[""@Slasher"", ""4th)"", ""You"", ""could"", ""try"", ""to"", ""date"", ""a"", ""lot"", ""of"", ""women."", ""Dude,"", ""their"", ""is"", ""nothing"", ""wrong"", ""with"", ""going"", ""on"", ""tinder"", ""and"", ""bumble."", ""I'm"", ""sure"", ""woman"", ""will"", ""be"", ""interested"", ""in"", ""you."", ""Its"", ""called"", ""having"", ""options"", ""#mgtow""]"	"@Slasher 4th) You could choose alot of girls to date. Dude, their is nothing wrong with going on tinder and bumble. I'm sure woman will flock over you with the status you have. Its called having options #mgtow"	"@Slasher 4th) You could try to date a lot of women. Dude, their is nothing wrong with going on tinder and bumble. I'm sure woman will be interested in you. Its called having options #mgtow"
224	"@SpitfireFilly Aaah! I just saw you on the telly! Said to my wife ""I follow her on Twitter! She's a mansplaining magnet!""#dambusters"	"[""@SpitfireFilly"", ""Aaah!"", ""I"", ""just"", ""saw"", ""you"", ""on"", ""the"", ""telly!"", ""Said"", ""to"", ""my"", ""wife"", """"I"", ""follow"", ""her"", ""on"", ""Twitter!""#dambusters""]"	"@SpitfireFilly Aaah! I just saw you on the telly! Said to my wife ""I follow her on Twitter! She's a mansplaining magnet!""#dambusters"	"@SpitfireFilly Aaah! I just saw you on the telly! Said to my wife ""I follow her on Twitter!""#dambusters"
225	@TylarTheCreator Lmfao.  I'm crying. She bet not cock block	"[""@TylarTheCreator"", ""Lmfao."", ""I'm"", ""crying."", ""She"", ""bet"", ""not"", ""stop"", ""me"", ""from"", ""having"", ""sex""]"	@TylarTheCreator Lmfao.  I'm crying. She bet not cock block	@TylarTheCreator Lmfao. I'm crying. She bet not stop me from having sex
226	@hellogines @WomenPostingLs bc she was indecisive and not in touch with herself emotionally? Wanted to ride the cock carousel perhaps?	"[""@hellogines"", ""@WomenPostingLs"", ""bc"", ""she"", ""was"", ""indecisive"", ""and"", ""not"", ""in"", ""touch"", ""with"", ""herself"", ""emotionally?""]"	@hellogines @WomenPostingLs bc she was indecisive and not in touch with herself emotionally? Wanted to ride the cock carousel perhaps?	@hellogines @WomenPostingLs bc she was indecisive and not in touch with herself emotionally?
227	Hot Japanese Skank  @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 .07780 https://t.co/oDuppXrbQr	"[""Hot"", ""Japanese"", ""Woman"", ""@porn_click_1364"", ""@porn_click_1364"", ""@porn_click_1364"", ""@porn_click_1364"", ""@porn_click_1364"", ""@porn_click_1364"", ""@porn_click_1364"", ""@porn_click_1364"", ""https://t.co/oDuppXrbQr""]"	Hot Japanese Skank  @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 .07780 https://t.co/oDuppXrbQr	Hot Japanese Woman  @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 . @porn_click_1364 .07780 https://t.co/oDuppXrbQr
228	Raven looking sexy as she climbs stairs in a very short denim skirt Latest update featuring Raven resident model at https://t.co/sSqeO490Qv  #onlyfans #onlyfansuk #upskirt #panties #fetish #pantyfetish #shortskirt #knickerflash #climbing #openleg #denim #Raven #British    #milf https://t.co/7MyEfHegaf	"[""Raven"", ""looks"", ""beautiful"", ""Latest"", ""update"", ""featuring"", ""Raven"", ""resident"", ""model"", ""at"", ""https://t.co/sSqeO490Qv"", ""#onlyfans"", ""#onlyfansuk"", ""#upskirt"", ""#panties"", ""#fetish"", ""#pantyfetish"", ""#shortskirt"", ""#knickerflash"", ""#climbing"", ""#openleg"", ""#denim"", ""#Raven"", ""#British"", ""#milf"", ""https://t.co/7MyEfHegaf""]"	Raven looking sexy as she climbs stairs in a very short denim skirt Latest update featuring Raven resident model at https://t.co/sSqeO490Qv  #onlyfans #onlyfansuk #upskirt #panties #fetish #pantyfetish #shortskirt #knickerflash #climbing #openleg #denim #Raven #British    #milf https://t.co/7MyEfHegaf	Raven looks beautiful Latest update featuring Raven resident model at https://t.co/sSqeO490Qv  #onlyfans #onlyfansuk #upskirt #panties #fetish #pantyfetish #shortskirt #knickerflash #climbing #openleg #denim #Raven #British    #milf https://t.co/7MyEfHegaf
229	@dorsenfIfr @nypost You look like a prostitute .	"[""@dorsenfIfr"", ""@nypost"", ""You"", ""look"", ""like"", ""bad.""]"	@dorsenfIfr @nypost You look like a prostitute .	@dorsenfIfr @nypost You look like bad.
230	@RedRevenge99 you look like a bitch	"[""@RedRevenge99"", ""you"", ""look"", ""like"", ""a"", ""mean"", ""person""]"	@RedRevenge99 you look like a bitch	@RedRevenge99 you look like a mean person
231	@Kristabel_yaa Gold digger	"[""@Kristabel_yaa"", ""money"", ""hungry""]"	@Kristabel_yaa Gold digger	@Kristabel_yaa money hungry
232	"I ain't sayin she a gold digger, I'm just saying she a gold diggerrrr"	"[""I"", ""ain't"", ""sayin"", ""she"", ""money"", ""hungryr,"", ""I'm"", ""just"", ""saying"", ""she"", ""money"", ""hungry""]"	"I ain't sayin she a gold digger, I'm just saying she a gold diggerrrr"	"I ain't sayin she money hungryr, I'm just saying she money hungry"
233	dwight you ignorant slut https://t.co/QJrjlfvvea	"[""dwight"", ""you"", ""ignorant"", ""person"", ""https://t.co/QJrjlfvvea""]"	dwight you ignorant slut https://t.co/QJrjlfvvea	dwight you ignorant person https://t.co/QJrjlfvvea
234	I know I didn't talk to you much today but you look like you don't vibe with no one Which translates to... you look like a bitch	"[""""I"", ""know"", ""I"", ""didn't"", ""talk"", ""to"", ""you"", ""much"", ""today"", ""but"", ""you"", ""look"", ""like"", ""you"", ""don't"", ""vibe"", ""with"", ""no"", ""one"""", ""Which"", ""translates"", ""to..."", ""you"", ""look"", ""mean""]"	I know I didn't talk to you much today but you look like you don't vibe with no one Which translates to... you look like a bitch	I know I didn't talk to you much today but you look like you don't vibe with no one Which translates to... you look mean
235	@IngrahamAngle Piss off Laura! You are a vile human being and a disgrace to all women.	"[""@IngrahamAngle"", ""Piss"", ""off"", ""Laura!"", ""You"", ""are"", ""a"", ""vile"", ""human"", ""being"", ""and"", ""a"", ""disgrace.""]"	@IngrahamAngle Piss off Laura! You are a vile human being and a disgrace to all women.	@IngrahamAngle Piss off Laura! You are a vile human being and a disgrace.
236	How can you want so much attention? #slag #getalife	"[""How"", ""can"", ""you"", ""want"", ""so"", ""much"", ""attention?"", ""#getalife""]"	How can you want so much attention? #slag #getalife	How can you want so much attention? #getalife
237	Thot earrings	"[""""]"	Thot earrings	
238	@preshdeyforyou Cause African women complain of domestic violence when we spank them!	"[""@preshdeyforyou"", ""Cause"", ""African"", ""women"", ""are"", ""affected"", ""by"", ""domestic"", ""violence!""]"	@preshdeyforyou Cause African women complain of domestic violence when we spank them!	@preshdeyforyou Cause African women are affected by domestic violence!
239	"@onlyfansheroin @inkyobus Stop it white woman, when I spank you you turn like tomato."	"[""@onlyfansheroin"", ""@inkyobus"", ""Stop"", ""it,"", ""white"", ""people"", ""turn"", ""red"", ""like"", ""a"", ""tomato"", ""when"", ""hit.""]"	"@onlyfansheroin @inkyobus Stop it white woman, when I spank you you turn like tomato."	"@onlyfansheroin @inkyobus Stop it, white people turn red like a tomato when hit."
240	Y'all be letting women talk to you any kind of way with no punishment?  yikes I choke mines or bend them over for a mild spank	"[""Y'all"", ""be"", ""letting"", ""women"", ""talk"", ""to"", ""you"", ""any"", ""kind"", ""of"", ""way"", ""with"", ""no"", ""punishment?"", ""yikes"", ""I"", ""choke"", ""mines"", ""or"", ""bend"", ""them"", ""over"", ""for"", ""a"", ""mild"", ""spank""]"	Y'all be letting women talk to you any kind of way with no punishment?  yikes I choke mines or bend them over for a mild spank	Y'all be letting women talk to you any kind of way with no punishment?  yikes I choke mines or bend them over for a mild spank
241	i'm a random ass slapper too lmao https://t.co/TLP1GMeE01	"[""i'm"", ""a"", ""random"", ""person"", ""too"", ""lmao"", ""https://t.co/TLP1GMeE01""]"	i'm a random ass slapper too lmao https://t.co/TLP1GMeE01	i'm a random person too lmao https://t.co/TLP1GMeE01
242	@Dom_2k She is just settling after riding all that famous cock-carousel. Sad.	"[""@Dom_2k"", ""She"", ""is"", ""just"", ""settling"", ""after"", ""seeing"", ""many"", ""people."", ""Sad.""]"	@Dom_2k She is just settling after riding all that famous cock-carousel. Sad.	@Dom_2k She is just settling after seeing many people. Sad.
243	@Smithcouple971 Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed	"[""""]"	@Smithcouple971 Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed	
244	Bitches be begging me to fw them just to give me a reason not to fw them. Lol	"[""Women"", ""be"", ""asking"", ""me"", ""to"", ""talk"", ""to"", ""them"", ""just"", ""to"", ""give"", ""me"", ""a"", ""reason"", ""not"", ""to"", ""talk"", ""to"", ""them."", ""Lol""]"	Bitches be begging me to fw them just to give me a reason not to fw them. Lol	Women be asking me to talk to them just to give me a reason not to talk to them. Lol
245	"@CynthiaCoxTO You're a Beautiful Woman with a Beautiful Heart  I still think you're the Sexiest.. Now bend over, Daddies gonna spank you"	"[""@CynthiaCoxTO"", ""You're"", ""a"", ""Beautiful"", ""Woman"", ""with"", ""a"", ""Beautiful"", ""Heart""]"	"@CynthiaCoxTO You're a Beautiful Woman with a Beautiful Heart  I still think you're the Sexiest.. Now bend over, Daddies gonna spank you"	@CynthiaCoxTO You're a Beautiful Woman with a Beautiful Heart
246	I need someone to make me cum my pussy is throbbing for some cock dm me for some fun ;)#horny #dm #sext #sexting #trade #tribute #cumtribute #pussy #wet #orgasm #cumslut #slut #sex #fuckme #dirtytalk #verbal #porn #cock #cum #dirty #hornyfemale #wetpussy	"[""""]"	I need someone to make me cum my pussy is throbbing for some cock dm me for some fun ;)#horny #dm #sext #sexting #trade #tribute #cumtribute #pussy #wet #orgasm #cumslut #slut #sex #fuckme #dirtytalk #verbal #porn #cock #cum #dirty #hornyfemale #wetpussy	
247	@TimelessAssasin The intimidating yell of the woman was demanding and he didn't dare want to make her angry. He feels back and this time he puts all his strength behind the spank that contacts her ass.	"[""@TimelessAssasin"", ""The"", ""intimidating"", ""yell"", ""of"", ""the"", ""woman"", ""was"", ""demanding"", ""and"", ""he"", ""didn't"", ""dare"", ""want"", ""to"", ""make"", ""her"", ""angry."", ""He"", ""feels"", ""back""]"	@TimelessAssasin The intimidating yell of the woman was demanding and he didn't dare want to make her angry. He feels back and this time he puts all his strength behind the spank that contacts her ass.	@TimelessAssasin The intimidating yell of the woman was demanding and he didn't dare want to make her angry. He feels back
248	Reblog if I can tease your thick cock https://t.co/WWxbTtF2wU	"[""Reblog"", ""https://t.co/WWxbTtF2wU""]"	Reblog if I can tease your thick cock https://t.co/WWxbTtF2wU	Reblog https://t.co/WWxbTtF2wU
249	"https://t.co/Hd9KIQ2AAO &gt; Lascivious - Moxxy Minx &gt; Moxxy Minx does some of her early porn auditions for Spungy Gunk Films! Masturbate, tease, suck cock and fuck! #vod {@HotMovies @exposedbondage @boxofporninfo @jazminejames @freepornsets @nudemodels @LaceyMarieCom} #P4YP https://t.co/uweBNik7IL"	"[""https://t.co/Hd9KIQ2AAO"", ""&gt;"", ""Lascivious"", ""Moxxy"", ""Minx"", ""&gt;"", ""Moxxy"", ""Minx"", ""does"", ""some"", ""of"", ""her"", ""early"", ""porn"", ""auditions"", ""for"", ""Spungy"", ""Gunk"", ""Films!"", ""#vod"", ""{@HotMovies"", ""@exposedbondage"", ""@boxofporninfo"", ""@jazminejames"", ""@freepornsets"", ""@nudemodels"", ""@LaceyMarieCom}"", ""#P4YP"", ""https://t.co/uweBNik7IL""]"	"https://t.co/Hd9KIQ2AAO &gt; Lascivious - Moxxy Minx &gt; Moxxy Minx does some of her early porn auditions for Spungy Gunk Films! Masturbate, tease, suck cock and fuck! #vod {@HotMovies @exposedbondage @boxofporninfo @jazminejames @freepornsets @nudemodels @LaceyMarieCom} #P4YP https://t.co/uweBNik7IL"	https://t.co/Hd9KIQ2AAO &gt; Lascivious - Moxxy Minx &gt; Moxxy Minx does some of her early porn auditions for Spungy Gunk Films! #vod {@HotMovies @exposedbondage @boxofporninfo @jazminejames @freepornsets @nudemodels @LaceyMarieCom} #P4YP https://t.co/uweBNik7IL
250	"Lol you're nutting in women you find ugly? Yet fucking them alone? Men I tell you, no standards https://t.co/CZP69XMGKy"	"[""Lol"", ""why"", ""are"", ""you"", ""sleeping"", ""with"", ""women"", ""you"", ""aren't"", ""attracted"", ""to?"", ""https://t.co/CZP69XMGKy""]"	"Lol you're nutting in women you find ugly? Yet fucking them alone? Men I tell you, no standards https://t.co/CZP69XMGKy"	Lol why are you sleeping with women you aren't attracted to? https://t.co/CZP69XMGKy
251	@Porn_Butts_III @evelina_darling Did you really get double gangbanged in 1 video? https://t.co/ydKbmqppML	"[""@Porn_Butts_III"", ""@evelina_darling"", ""https://t.co/ydKbmqppML""]"	@Porn_Butts_III @evelina_darling Did you really get double gangbanged in 1 video? https://t.co/ydKbmqppML	@Porn_Butts_III @evelina_darling https://t.co/ydKbmqppML
252	@brandonxy I'd love to sodomize you.... Can I preform analingus first?;)	"[""@brandonxy"", ""I'd"", ""love"", ""to"", ""have"", ""consenual"", ""sex"", ""with"", ""you...""]"	@brandonxy I'd love to sodomize you.... Can I preform analingus first?;)	@brandonxy I'd love to have consenual sex with you...
253	"@Jennife68158606 @erb_kay @DharmaDreamin @Henness87 @mjcaggi2012 Oh boy! Hit me, beat me, spank me...c'mon don't hold back ladies....I promise I'll be a bad,bad boy.....I wasn't married to the same woman for 30 + yrs. without being put in my place ever-so"	"[""@Jennife68158606"", ""@erb_kay"", ""@DharmaDreamin"", ""@Henness87"", ""@mjcaggi2012"", ""Oh"", ""boy!"", ""I"", ""wasn't"", ""married"", ""to"", ""the"", ""same"", ""woman"", ""for"", ""yrs."", ""without"", ""being"", ""put"", ""in"", ""my"", ""place"", ""ever-so-often!"", ""https://t.co/l9obc0y2c1""]"	"@Jennife68158606 @erb_kay @DharmaDreamin @Henness87 @mjcaggi2012 Oh boy! Hit me, beat me, spank me...c'mon don't hold back ladies....I promise I'll be a bad,bad boy.....I wasn't married to the same woman for 30 + yrs. without being put in my place ever-so"	@Jennife68158606 @erb_kay @DharmaDreamin @Henness87 @mjcaggi2012 Oh boy! I wasn't married to the same woman for 30 + yrs. without being put in my place ever-so-often! https://t.co/l9obc0y2c1
254	"@DBimboPirates ""Mmm aren't you just a whore. Wanting to look like your just a cock filled slut. Well maybe I'll just keep you on it 24/7. A new life as just a sleeve for a dick."""	"[""@DBimboPirates""]"	"@DBimboPirates ""Mmm aren't you just a whore. Wanting to look like your just a cock filled slut. Well maybe I'll just keep you on it 24/7. A new life as just a sleeve for a dick."""	@DBimboPirates
255	alternatively: I want a hot woman to spank me (or at least tell me how many times I should spank myself and then force me to take photos of my ass to send to her)	"[""alternatively:"", ""I"", ""want"", ""a"", ""hot"", ""woman"", ""to"", ""agree"", ""to"", ""spank"", ""me"", ""(or"", ""at"", ""least"", ""tell"", ""me"", ""how"", ""many"", ""times"", ""I"", ""should"", ""spank"", ""myself"", ""and"", ""then"", ""force"", ""me"", ""to"", ""take"", ""photos"", ""of"", ""my"", ""ass"", ""to"", ""send"", ""to"", ""her)""]"	alternatively: I want a hot woman to spank me (or at least tell me how many times I should spank myself and then force me to take photos of my ass to send to her)	alternatively: I want a hot woman to agree to spank me (or at least tell me how many times I should spank myself and then force me to take photos of my ass to send to her)
256	@jaynpriya1 Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed	"[""@jaynpriya1""]"	@jaynpriya1 Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed	@jaynpriya1
257	Women like it when you spank their asses in front of their parents.	"[""""]"	Women like it when you spank their asses in front of their parents.	
258	My @AmyScarlette84  Damn I wanna spank that ass soo bad  https://t.co/3fMZJ7EyOz	"[""@AmyScarlette84"", ""You"", ""are"", ""beautiful"", ""https://t.co/3fMZJ7EyOz""]"	My @AmyScarlette84  Damn I wanna spank that ass soo bad  https://t.co/3fMZJ7EyOz	@AmyScarlette84 You are beautiful https://t.co/3fMZJ7EyOz
259	"#thot? SeXy brunette live from Amsterdam!? LoOking for a kinky, natural girl with BIG tits#cumdump#Boston"	"[""""]"	"#thot? SeXy brunette live from Amsterdam!? LoOking for a kinky, natural girl with BIG tits#cumdump#Boston"	
260	We #BBC gangbanged Our first INDIAN #desigirl #desigirlfriend#desi #desifuck #desiSex #indian #indianwife #indianbhabi #chudai #desibhabi #desiwife #hotwife #Indianslut #Bollywood #indianpussy #desiwifeshare #desislut #DesiChudai #desipussy #indianhotwife https://t.co/7PndqVkKgI	"[""""]"	We #BBC gangbanged Our first INDIAN #desigirl #desigirlfriend#desi #desifuck #desiSex #indian #indianwife #indianbhabi #chudai #desibhabi #desiwife #hotwife #Indianslut #Bollywood #indianpussy #desiwifeshare #desislut #DesiChudai #desipussy #indianhotwife https://t.co/7PndqVkKgI	
261	@PineAlti Love to spank mature women	"[""@PineAlti"", ""Love"", ""to"", ""spank"", ""mature"", ""women"", ""who"", ""ask"", ""to"", ""be"", ""spanked""]"	@PineAlti Love to spank mature women	@PineAlti Love to spank mature women who ask to be spanked
262	Ooooh I need a dirty kinky naked woman to tie me up and smack my face and spank my ass all night long	"[""Ooooh"", ""I"", ""need"", ""a"", ""kinky"", ""woman"", ""to"", ""agree"", ""to"", ""tie"", ""me"", ""up"", ""and"", ""smack"", ""my"", ""face"", ""and"", ""spank"", ""my"", ""ass"", ""all"", ""night"", ""long""]"	Ooooh I need a dirty kinky naked woman to tie me up and smack my face and spank my ass all night long	Ooooh I need a kinky woman to agree to tie me up and smack my face and spank my ass all night long
263	Hot slut gets gangbanged  @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 .77240 https://t.co/7n32WqdLjl	"[""""]"	Hot slut gets gangbanged  @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 . @porn_click_1360 .77240 https://t.co/7n32WqdLjl	
264	"@emrazz If they ride a Merry-Go-Round at the County Fair wearing those shirts, does that mean they're a Cock Carousel?"	"[""@emrazz"", ""If"", ""they"", ""ride"", ""a"", ""Merry-Go-Round"", ""at"", ""the"", ""County"", ""Fair"", ""wearing"", ""those"", ""shirts,"", ""does"", ""that"", ""mean"", ""they're"", ""promiscuous?""]"	"@emrazz If they ride a Merry-Go-Round at the County Fair wearing those shirts, does that mean they're a Cock Carousel?"	"@emrazz If they ride a Merry-Go-Round at the County Fair wearing those shirts, does that mean they're promiscuous?"
265	@Jazara_scottt you ain't text me bacc you dirt necc slut.	"[""@Jazara_scottt"", ""you"", ""ain't"", ""text"", ""me"", ""bacc.""]"	@Jazara_scottt you ain't text me bacc you dirt necc slut.	@Jazara_scottt you ain't text me bacc.
266	@Ecollins10 @iamvictor__ I thought she was just gangbanged	"[""""]"	@Ecollins10 @iamvictor__ I thought she was just gangbanged	
267	@bitcheslovesoka what a cock tease GOD	"[""@bitcheslovesoka""]"	@bitcheslovesoka what a cock tease GOD	@bitcheslovesoka
